run_id,step,clock,exponent,from_vertex,to_vertex,savings,rank,n_options,probability,best_savings,worst_savings,mean_savings,efficiency,chirality,generation,coxeter_phase,fiber,segment_overlap,distance_3d,chirality_match,config
0,51,0,1,610,253,35,5,9,0.106184,337,3,81.6,0.1039,1,0,21,0,56,4.9195,False,center_vs_far
0,51,1,1,141,41,847,3,13,0.197141,1037,225,557.0,0.8168,-1,2,21,6,56,4.9195,False,center_vs_far
0,52,0,1,253,259,223,3,9,0.199934,411,13,123.7,0.5426,1,0,22,0,168,5.7572,True,center_vs_far
0,52,1,1,41,51,29,12,12,0.052813,847,29,261.2,0.0342,1,2,22,4,168,5.7572,True,center_vs_far
0,53,0,1,259,263,843,2,14,0.203323,849,158,405.6,0.9929,1,0,23,1,52,6.0168,True,center_vs_far
0,53,1,1,51,34,130,4,8,0.153203,222,2,114.6,0.5856,1,2,23,3,52,6.0168,True,center_vs_far
0,54,0,1,263,312,656,4,10,0.189599,843,27,406.7,0.7782,1,0,24,2,540,6.996,False,center_vs_far
0,54,1,1,34,38,144,5,12,0.102299,256,4,108.6,0.5625,-1,2,24,7,540,6.996,False,center_vs_far
0,55,0,1,312,309,338,4,13,0.076442,719,30,262.3,0.4701,-1,0,25,6,48,7.3309,True,center_vs_far
0,55,1,1,38,17,135,9,9,0.178823,345,135,207.8,0.3913,-1,2,25,7,48,7.3309,True,center_vs_far
0,56,0,1,309,312,338,3,9,0.167189,346,97,201.0,0.9769,-1,0,26,5,40,5.828,True,center_vs_far
0,56,1,1,17,16,53,9,12,0.100676,153,4,88.2,0.3464,-1,0,26,8,40,5.828,True,center_vs_far
0,57,0,1,312,728,316,6,13,0.093539,719,30,262.3,0.4395,-1,2,27,5,360,6.7474,False,center_vs_far
0,57,1,1,16,9,140,2,12,0.180666,157,5,55.6,0.8917,1,2,27,4,360,6.7474,False,center_vs_far
0,58,0,1,728,322,135,11,13,0.122046,674,31,241.2,0.2003,1,2,28,1,32,5.4823,False,center_vs_far
0,58,1,1,9,4,582,3,13,0.166524,850,32,288.2,0.6847,-1,0,28,7,32,5.4823,False,center_vs_far
0,59,0,1,322,350,29,8,13,0.038669,156,9,67.8,0.1859,-1,1,29,5,286,7.0361,True,center_vs_far
0,59,1,1,4,1,343,5,10,0.104754,718,32,349.9,0.4777,-1,0,29,8,286,7.0361,True,center_vs_far
0,60,0,1,350,338,22,7,9,0.054679,403,15,123.8,0.0546,-1,1,0,9,83,6.704,False,center_vs_far
0,60,1,1,1,550,141,6,9,0.076033,343,134,206.6,0.4111,1,0,0,0,83,6.704,False,center_vs_far
1,1,0,1,276,237,326,9,12,0.219777,1247,244,700.3,0.2614,-1,0,1,7,4,3.873,False,center_vs_far
1,1,1,1,1,550,141,6,9,0.099005,343,134,206.6,0.4111,1,1,1,0,4,3.873,False,center_vs_far
1,2,0,1,237,276,326,1,10,0.508587,326,2,62.6,1.0,1,2,2,3,1132,3.678,True,center_vs_far
1,2,1,1,550,552,138,4,12,0.093064,169,4,96.4,0.8166,1,0,2,4,1132,3.678,True,center_vs_far
1,3,0,1,276,316,868,5,12,0.113951,1247,244,700.3,0.6961,1,2,3,1,336,4.4946,True,center_vs_far
1,3,1,1,552,9,584,2,14,0.10094,835,29,286.9,0.6994,1,1,3,4,336,4.4946,True,center_vs_far
1,4,0,1,316,286,35,2,10,0.131906,868,15,110.7,0.0403,1,1,4,1,185,4.4292,True,center_vs_far
1,4,1,1,9,4,582,3,13,0.117202,850,32,288.2,0.6847,1,1,4,4,185,4.4292,True,center_vs_far
1,5,0,1,286,318,127,2,8,0.225778,234,7,62.4,0.5427,1,1,5,4,121,5.1079,True,center_vs_far
1,5,1,1,4,5,144,7,10,0.145879,718,32,349.9,0.2006,1,1,5,1,121,5.1079,True,center_vs_far
1,6,0,1,318,458,321,4,13,0.084306,666,30,281.5,0.482,1,0,6,0,156,6.1717,False,center_vs_far
1,6,1,1,5,2,129,6,12,0.080048,262,4,109.0,0.4924,-1,1,6,6,156,6.1717,False,center_vs_far
1,7,0,1,458,318,321,1,9,0.256115,321,3,78.9,1.0,1,0,7,0,203,5.1079,True,center_vs_far
1,7,1,1,2,553,102,6,8,0.156857,224,2,114.6,0.4554,1,1,7,4,203,5.1079,True,center_vs_far
1,8,0,1,318,729,666,1,13,0.100097,666,30,281.5,1.0,1,0,8,1,190,6.2943,True,center_vs_far
1,8,1,1,553,2,102,7,12,0.083834,449,12,165.8,0.2272,1,1,8,3,190,6.2943,True,center_vs_far
1,9,0,1,729,353,485,5,14,0.122103,1006,158,403.1,0.4821,1,0,9,2,8,6.0168,False,center_vs_far
1,9,1,1,2,5,129,4,8,0.169537,224,2,114.6,0.5759,-1,1,9,7,8,6.0168,False,center_vs_far
1,10,0,1,353,729,485,1,9,0.384819,485,8,137.1,1.0,-1,0,10,6,794,4.899,True,center_vs_far
1,10,1,1,5,562,157,3,12,0.117411,262,4,109.0,0.5992,-1,1,10,7,794,4.899,True,center_vs_far
1,11,0,1,729,735,167,13,14,0.114759,1006,158,403.1,0.166,-1,0,11,5,1,6.9177,True,center_vs_far
1,11,1,1,562,5,157,13,14,0.041575,1034,153,398.6,0.1518,-1,0,11,8,1,6.9177,True,center_vs_far
1,12,0,1,735,356,139,3,12,0.12067,167,5,95.2,0.8323,-1,1,12,5,35,6.6484,False,center_vs_far
1,12,1,1,5,2,129,6,12,0.126565,262,4,109.0,0.4924,1,1,12,4,35,6.6484,False,center_vs_far
1,13,0,1,356,735,139,8,13,0.046875,820,33,280.8,0.1695,1,1,13,1,8,7.0941,False,center_vs_far
1,13,1,1,2,553,102,6,8,0.112301,224,2,114.6,0.4554,-1,0,13,7,8,7.0941,False,center_vs_far
1,14,0,1,735,729,167,1,12,0.143221,167,5,95.2,1.0,-1,2,14,5,723,6.6044,True,center_vs_far
1,14,1,1,553,63,449,1,12,0.081725,449,12,165.8,1.0,-1,0,14,8,723,6.6044,True,center_vs_far
1,15,0,1,729,353,485,5,14,0.174675,1006,158,403.1,0.4821,-1,2,15,9,14,7.25,False,center_vs_far
1,15,1,1,63,57,144,8,10,0.07653,839,31,307.5,0.1716,1,0,15,0,14,7.25,False,center_vs_far
1,16,0,1,353,729,485,1,9,0.386391,485,8,137.1,1.0,-1,0,16,7,536,6.2026,False,center_vs_far
1,16,1,1,57,598,110,4,9,0.120977,148,20,94.0,0.7432,1,2,16,0,536,6.2026,False,center_vs_far
1,17,0,1,729,735,167,13,14,0.114465,1006,158,403.1,0.166,1,1,17,3,1,6.629,True,center_vs_far
1,17,1,1,598,76,261,4,14,0.109269,491,23,186.4,0.5316,1,0,17,4,1,6.629,True,center_vs_far
1,18,0,1,735,730,110,6,12,0.096635,167,5,95.2,0.6587,1,1,18,1,270,6.5891,True,center_vs_far
1,18,1,1,76,89,351,1,9,0.347619,351,12,106.0,1.0,1,2,18,4,270,6.5891,True,center_vs_far
1,19,0,1,730,735,110,9,14,0.083721,488,24,183.9,0.2254,1,2,19,1,135,6.245,True,center_vs_far
1,19,1,1,89,101,287,9,12,0.051303,843,184,457.0,0.3405,1,2,19,4,135,6.245,True,center_vs_far
1,20,0,1,735,729,167,1,12,0.114593,167,5,95.2,1.0,1,2,20,4,346,5.5202,True,center_vs_far
1,20,1,1,101,568,39,5,7,0.168713,587,12,235.1,0.0664,1,2,20,1,346,5.5202,True,center_vs_far
1,21,0,1,729,733,158,14,14,0.062926,1006,158,403.1,0.1571,1,0,21,0,62,6.4877,False,center_vs_far
1,21,1,1,568,23,185,7,14,0.074756,487,25,186.5,0.3799,-1,2,21,6,62,6.4877,False,center_vs_far
1,22,0,1,733,339,175,2,12,0.138423,249,5,107.6,0.7028,1,0,22,0,54,6.1554,True,center_vs_far
1,22,1,1,23,11,107,5,9,0.111243,402,17,127.6,0.2662,1,2,22,4,54,6.1554,True,center_vs_far
1,23,0,1,339,357,362,1,12,0.203966,362,15,123.1,1.0,1,0,23,1,165,6.0467,True,center_vs_far
1,23,1,1,11,568,114,4,9,0.156647,149,23,96.2,0.7651,1,2,23,3,165,6.0467,True,center_vs_far
1,24,0,1,357,354,129,7,9,0.0683,565,32,271.1,0.2283,1,0,24,2,51,6.0168,False,center_vs_far
1,24,1,1,568,8,445,2,14,0.172288,487,25,186.5,0.9138,-1,2,24,7,51,6.0168,False,center_vs_far
1,25,0,1,354,187,244,1,10,0.311515,244,1,62.4,1.0,-1,0,25,6,194,5.7572,True,center_vs_far
1,25,1,1,8,553,422,3,10,0.148514,706,30,267.0,0.5977,-1,2,25,7,194,5.7572,True,center_vs_far
1,26,0,1,187,174,661,1,10,0.125728,661,26,254.2,1.0,-1,0,26,5,61,5.3444,True,center_vs_far
1,26,1,1,553,3,101,8,12,0.14493,449,12,165.8,0.2249,-1,0,26,8,61,5.3444,True,center_vs_far
1,27,0,1,174,179,842,2,12,0.117182,844,182,456.8,0.9976,-1,2,27,5,254,5.919,False,center_vs_far
1,27,1,1,3,75,175,2,8,0.157632,224,2,117.8,0.7812,1,2,27,4,254,5.919,False,center_vs_far
1,28,0,1,179,188,340,4,10,0.097283,842,32,308.2,0.4038,1,2,28,1,411,7.4185,False,center_vs_far
1,28,1,1,75,58,399,1,11,0.196189,399,16,107.4,1.0,-1,0,28,7,411,7.4185,False,center_vs_far
1,29,0,1,188,189,152,8,13,0.117203,586,33,245.2,0.2594,-1,1,29,5,17,7.7446,True,center_vs_far
1,29,1,1,58,551,694,1,9,0.252017,694,134,319.4,1.0,-1,0,29,8,17,7.7446,True,center_vs_far
1,30,0,1,189,663,135,2,4,0.33364,152,15,100.8,0.8882,-1,1,0,9,103,8.1751,False,center_vs_far
1,30,1,1,551,57,148,9,13,0.076493,694,33,244.7,0.2133,1,0,0,0,103,8.1751,False,center_vs_far
1,31,0,1,663,357,565,1,13,0.120545,565,31,241.2,1.0,-1,0,1,7,96,8.1517,False,center_vs_far
1,31,1,1,57,596,114,3,9,0.154047,148,20,94.0,0.7703,1,1,1,0,96,8.1517,False,center_vs_far
1,32,0,1,357,733,249,5,9,0.107212,565,32,271.1,0.4407,1,2,2,3,53,8.4162,True,center_vs_far
1,32,1,1,596,57,114,3,9,0.125868,151,20,95.2,0.755,1,0,2,4,53,8.4162,True,center_vs_far
1,33,0,1,733,357,249,1,12,0.156194,249,5,107.6,1.0,1,2,3,1,503,7.25,True,center_vs_far
1,33,1,1,57,598,110,4,9,0.098678,148,20,94.0,0.7432,1,1,3,4,503,7.25,True,center_vs_far
1,34,0,1,357,738,226,6,9,0.257964,565,32,271.1,0.4,1,1,4,1,12,6.3689,True,center_vs_far
1,34,1,1,598,76,261,4,14,0.119266,491,23,186.4,0.5316,1,1,4,4,12,6.3689,True,center_vs_far
1,35,0,1,738,488,28,5,7,0.035337,451,3,125.9,0.0621,1,1,5,4,91,6.4442,True,center_vs_far
1,35,1,1,76,598,261,2,9,0.262272,351,12,106.0,0.7436,1,1,5,1,91,6.4442,True,center_vs_far
1,36,0,1,488,737,15,8,10,0.061751,128,2,32.0,0.1172,1,0,6,0,27,6.6484,False,center_vs_far
1,36,1,1,598,63,491,1,14,0.1875,491,23,186.4,1.0,-1,1,6,6,27,6.6484,False,center_vs_far
1,37,0,1,737,484,137,1,10,0.353915,137,2,33.9,1.0,1,0,7,0,97,7.9987,True,center_vs_far
1,37,1,1,63,57,144,8,10,0.151499,839,31,307.5,0.1716,1,1,7,4,97,7.9987,True,center_vs_far
1,38,0,1,484,726,399,3,9,0.162752,682,137,319.8,0.585,1,0,8,1,104,6.9542,True,center_vs_far
1,38,1,1,57,551,148,1,9,0.17364,148,20,94.0,1.0,1,1,8,3,104,6.9542,True,center_vs_far
1,39,0,1,726,477,24,9,11,0.034827,399,14,113.3,0.0602,1,0,9,2,29,7.0789,False,center_vs_far
1,39,1,1,551,552,318,4,13,0.141706,694,33,244.7,0.4582,-1,1,9,7,29,7.0789,False,center_vs_far
1,40,0,1,477,773,72,4,10,0.11176,242,8,67.0,0.2975,-1,0,10,6,104,8.1751,True,center_vs_far
1,40,1,1,552,551,318,7,14,0.087334,835,29,286.9,0.3808,-1,1,10,7,104,8.1751,True,center_vs_far
1,41,0,1,773,477,72,8,9,0.085511,149,21,97.0,0.4832,-1,0,11,5,22,6.6332,True,center_vs_far
1,41,1,1,551,84,237,6,13,0.110039,694,33,244.7,0.3415,-1,0,11,8,22,6.6332,True,center_vs_far
1,42,0,1,477,773,72,4,10,0.117074,242,8,67.0,0.2975,-1,1,12,5,104,8.1751,False,center_vs_far
1,42,1,1,84,551,237,1,7,0.458574,237,1,73.1,1.0,1,1,12,4,104,8.1751,False,center_vs_far
1,43,0,1,773,534,118,3,9,0.165225,149,21,97.0,0.7919,1,1,13,1,7,8.302,False,center_vs_far
1,43,1,1,551,0,141,11,13,0.051302,694,33,244.7,0.2032,-1,0,13,7,7,8.302,False,center_vs_far
1,44,0,1,534,773,118,3,9,0.132845,159,22,100.0,0.7421,-1,2,14,5,0,7.5989,True,center_vs_far
1,44,1,1,0,554,18,4,4,0.049027,142,18,100.8,0.1268,-1,0,14,8,0,7.5989,True,center_vs_far
1,45,0,1,773,472,101,5,9,0.115646,149,21,97.0,0.6779,-1,2,15,9,113,7.5833,False,center_vs_far
1,45,1,1,554,551,126,3,6,0.267958,160,12,79.7,0.7875,1,0,15,0,113,7.5833,False,center_vs_far
1,46,0,1,472,483,397,1,9,0.253784,397,8,124.9,1.0,-1,0,16,7,87,7.0528,False,center_vs_far
1,46,1,1,551,554,126,12,13,0.072722,694,33,244.7,0.1816,1,2,16,0,87,7.0528,False,center_vs_far
1,47,0,1,483,734,320,4,13,0.076458,682,33,247.8,0.4692,1,1,17,3,663,7.1044,True,center_vs_far
1,47,1,1,554,551,126,3,6,0.205345,160,12,79.7,0.7875,1,0,17,4,663,7.1044,True,center_vs_far
1,48,0,1,734,482,150,7,13,0.080855,710,31,268.9,0.2113,1,1,18,1,75,6.3988,True,center_vs_far
1,48,1,1,551,70,385,2,13,0.105393,694,33,244.7,0.5548,1,2,18,4,75,6.3988,True,center_vs_far
1,49,0,1,482,475,20,8,11,0.032352,320,8,82.0,0.0625,1,2,19,1,16,6.7191,True,center_vs_far
1,49,1,1,70,594,103,4,9,0.210015,385,10,124.4,0.2675,1,2,19,4,16,6.7191,True,center_vs_far
1,50,0,1,475,336,608,1,9,0.345139,608,17,191.6,1.0,1,2,20,4,102,6.4877,True,center_vs_far
1,50,1,1,594,209,117,6,12,0.117335,264,2,107.1,0.4432,1,2,20,1,102,6.4877,True,center_vs_far
1,51,0,1,336,303,827,3,13,0.188708,848,160,422.0,0.9752,1,0,21,0,402,5.919,False,center_vs_far
1,51,1,1,209,191,137,3,8,0.15114,221,1,110.1,0.6199,-1,2,21,6,402,5.919,False,center_vs_far
1,52,0,1,303,292,131,13,14,0.099669,827,41,331.1,0.1584,1,0,22,0,154,4.4558,True,center_vs_far
1,52,1,1,191,669,332,3,9,0.16055,342,94,199.8,0.9708,1,2,22,4,154,4.4558,True,center_vs_far
1,53,0,1,292,286,13,9,12,0.037815,134,6,43.3,0.097,1,0,23,1,87,5.7397,True,center_vs_far
1,53,1,1,669,191,332,5,14,0.092628,710,29,264.6,0.4676,1,2,23,3,87,5.7397,True,center_vs_far
1,54,0,1,286,303,234,1,8,0.331593,234,7,62.4,1.0,1,0,24,2,80,5.2862,False,center_vs_far
